Source,Target,Type,Id,Label,Weight
A,B,Undirected,1710,,0.638494
A,C,Undirected,1711,,1.030941
A,D,Undirected,1712,,0.363883
A,E,Undirected,1713,,0.44629
A,F,Undirected,1714,,0.409703
A,G,Undirected,1715,,0.403956
A,H,Undirected,1716,,0.168458
A,I,Undirected,1717,,0.269293
A,J,Undirected,1718,,0.374905
A,K,Undirected,1719,,0.550024
A,L,Undirected,1720,,0.242885
A,M,Undirected,1721,,0.357112
A,N,Undirected,1722,,0.182086
A,O,Undirected,1723,,0.377187
A,P,Undirected,1724,,0.326224
A,Q,Undirected,1725,,0.278231
A,R,Undirected,1726,,0.190483
A,S,Undirected,1727,,0.762362
B,C,Undirected,1729,,0.639465
B,D,Undirected,1730,,0.620847
B,E,Undirected,1731,,0.452921
B,F,Undirected,1732,,0.562076
B,G,Undirected,1733,,0.380031
B,H,Undirected,1734,,0.27664
B,I,Undirected,1735,,0.254849
B,J,Undirected,1736,,0.487326
B,K,Undirected,1737,,0.339085
B,L,Undirected,1738,,0.426797
B,M,Undirected,1739,,0.322409
B,N,Undirected,1740,,0.277349
B,O,Undirected,1741,,0.32386
B,P,Undirected,1742,,0.505469
B,Q,Undirected,1743,,0.290852
B,R,Undirected,1744,,0.339231
B,S,Undirected,1745,,1.512493
C,D,Undirected,1748,,0.404913
C,E,Undirected,1749,,0.541856
C,F,Undirected,1750,,0.412099
C,G,Undirected,1751,,0.478989
C,H,Undirected,1752,,0.156155
C,I,Undirected,1753,,0.313513
C,J,Undirected,1754,,0.329044
C,K,Undirected,1755,,0.58422
C,L,Undirected,1756,,0.268274
C,M,Undirected,1757,,0.470296
C,N,Undirected,1758,,0.150796
C,O,Undirected,1759,,0.379393
C,P,Undirected,1760,,0.446175
C,Q,Undirected,1761,,0.368389
C,R,Undirected,1762,,0.225428
C,S,Undirected,1763,,0.628184
D,E,Undirected,1767,,0.476396
D,F,Undirected,1768,,0.873308
D,G,Undirected,1769,,0.44259
D,H,Undirected,1770,,0.343284
D,I,Undirected,1771,,0.315851
D,J,Undirected,1772,,0.381915
D,K,Undirected,1773,,0.271143
D,L,Undirected,1774,,0.630613
D,M,Undirected,1775,,0.343874
D,N,Undirected,1776,,0.266494
D,O,Undirected,1777,,0.323969
D,P,Undirected,1778,,0.374578
D,Q,Undirected,1779,,0.410555
D,R,Undirected,1780,,0.495249
D,S,Undirected,1781,,0.562982
E,F,Undirected,1786,,0.525836
E,G,Undirected,1787,,1.261493
E,H,Undirected,1788,,0.222477
E,I,Undirected,1789,,0.597823
E,J,Undirected,1790,,0.29681
E,K,Undirected,1791,,0.290912
E,L,Undirected,1792,,0.305943
E,M,Undirected,1793,,0.556793
E,N,Undirected,1794,,0.165203
E,O,Undirected,1795,,0.526273
E,P,Undirected,1796,,0.253003
E,Q,Undirected,1797,,0.421071
E,R,Undirected,1798,,0.385754
E,S,Undirected,1799,,0.462909
F,G,Undirected,1805,,0.529489
F,H,Undirected,1806,,0.614413
F,I,Undirected,1807,,0.417654
F,J,Undirected,1808,,0.412537
F,K,Undirected,1809,,0.304842
F,L,Undirected,1810,,0.505185
F,M,Undirected,1811,,0.376279
F,N,Undirected,1812,,0.298213
F,O,Undirected,1813,,0.414318
F,P,Undirected,1814,,0.343053
F,Q,Undirected,1815,,0.360623
F,R,Undirected,1816,,0.599788
F,S,Undirected,1817,,0.567287
G,H,Undirected,1824,,0.201563
G,I,Undirected,1825,,1.019021
G,J,Undirected,1826,,0.3699
G,K,Undirected,1827,,0.378446
G,L,Undirected,1828,,0.332462
G,M,Undirected,1829,,0.790993
G,N,Undirected,1830,,0.124774
G,O,Undirected,1831,,0.614603
G,P,Undirected,1832,,0.29208
G,Q,Undirected,1833,,0.495142
G,R,Undirected,1834,,0.461333
G,S,Undirected,1835,,0.398646
H,I,Undirected,1843,,0.184229
H,J,Undirected,1844,,0.222754
H,K,Undirected,1845,,0.112215
H,L,Undirected,1846,,0.257124
H,M,Undirected,1847,,0.138878
H,N,Undirected,1848,,0.290129
H,O,Undirected,1849,,0.16411
H,P,Undirected,1850,,0.195204
H,Q,Undirected,1851,,0.154517
H,R,Undirected,1852,,0.386449
H,S,Undirected,1853,,0.275274
I,J,Undirected,1862,,0.385362
I,K,Undirected,1863,,0.37893
I,L,Undirected,1864,,0.334223
I,M,Undirected,1865,,0.845883
I,N,Undirected,1866,,0.114555
